product_id,product_name,category,segment,size,color,list_price,cogs,orders_count,total_units_sold,gross_revenue,net_revenue,total_discount_amount,avg_selling_price,promo_attach_rate_pct,gross_margin_pct,total_return_events,total_units_returned,total_refund_amount,return_rate_pct,top_return_reason,returns_wrong_size,returns_defective,returns_not_as_described,returns_changed_mind,returns_late_delivery,total_reviews,avg_rating,positive_reviews,negative_reviews,stock_on_hand,days_of_supply,fill_rate,sell_through_rate,stockout_flag,overstock_flag,reorder_flag,latest_snapshot_date,product_risk_tier
689,"SaigonFlex UC-54","Streetwear","Everyday","M","yellow",4162.627714977795,3842.937906467501,1910,8693,33690503.3,32203939.48,1486563.82,3878.006947643979,36.18,-3.73,109,314,1108985.3900000001,3.61,"wrong_size",48,20,19,18,4,349,3.92,254,47,526,7890,1,0.0038,false,true,false,"2020-08-31","low_risk"
993,"HanoiStreet UC-56","Streetwear","Everyday","M","blue",4262.353834196891,3732.117017222798,5075,22604,89692976.49,85653346.09,4039630.4,3969.385694581281,37.6,1.51,290,778,2864419.34,3.44,"wrong_size",105,47,63,46,29,855,3.98,634,95,1394,8364,1,0.0036,false,true,false,"2022-12-31","low_risk"
1230,"MekongFit UC-32","Streetwear","Everyday","L","red",5786.595352112676,3670.4374318450714,504,2239,12029282.31,11499122.66,530159.65,5383.649404761904,37.1,28.53,21,55,286963.32999999996,2.46,"wrong_size",6,3,5,4,3,78,4,56,10,149,4470,0.9667,0.0067,true,true,false,"2016-11-30","low_risk"
432,"SaigonFlex UM-37","Streetwear","Balanced","S","orange",11109.203179972936,10553.743020974289,1726,7910,81827863.21,78199658.48,3628204.73,10353.611981460022,36.56,-6.75,98,273,2599283.24,3.45,"wrong_size",39,20,17,15,7,281,3.91,203,43,430,12900,1,0.0023,false,true,false,"2017-08-31","low_risk"
981,"HanoiStreet UC-44","Streetwear","Everyday","M","black",2032.929931253305,1931.28343469064,4086,18198,34102107.26,32570412.28,1531694.98,1874.70223690651,38.25,-7.91,209,553,956286.1100000002,3.04,"wrong_size",74,45,36,32,22,697,3.87,483,122,1110,3700,0.9667,0.008,true,true,false,"2022-12-31","low_risk"
1524,"VietMode RP-16","Outdoor","Activewear","S","white",4011.274505119454,2500.227399040956,226,1034,3848327.42,3614279.06,234048.36,3738.6715929203538,41.59,28.47,13,39,128616.63,3.77,"defective",3,5,3,1,1,34,3.68,22,7,20,600,0.9667,0.0476,true,true,false,"2022-12-31","low_risk"
615,"SaigonFlex UC-80","Streetwear","Everyday","XL","purple",8328.96637057599,4873.278223424012,1954,8816,68084625.64,65060525.65,3024099.99,7719.006806550666,38.02,33.96,93,254,1820621.79,2.88,"wrong_size",29,22,16,18,8,287,4.01,218,40,529,2645,0.9667,0.0112,true,true,false,"2022-12-31","low_risk"
1425,"VietMode RP-17","Outdoor","Activewear","M","purple",3680.236655518395,2233.535626234114,217,1023,3605003.85,3471871.35,133132.5,3510.0157603686635,29.95,34.19,14,37,119267.39000000001,3.62,"defective",3,4,3,1,3,34,4.09,26,4,56,840,1,0.0345,false,true,false,"2020-12-31","low_risk"
1340,"VietMode RP-32","Outdoor","Activewear","S","red",2933.641534090909,2571.336804630682,129,591,1618437.89,1521962.58,96475.31,2735.241007751938,43.41,0.15,7,15,37412.49,2.54,"wrong_size",4,2,0,0,1,20,3.35,10,5,29,870,0.9333,0.0333,true,true,false,"2022-06-30","low_risk"
2263,"VietMotion RP-60","Outdoor","Activewear","XL","blue",3918.239568919638,3722.327590473656,1362,6217,22856697.5,21618085.94,1238611.56,3674.7865051395006,39.28,-7.05,78,221,756776.75,3.55,"wrong_size",27,14,17,8,12,223,3.96,156,32,332,905.5,0.9667,0.0321,true,true,false,"2022-12-31","low_risk"
