order_id,order_date,order_status,order_source,device_type,order_payment_method,customer_id,gender,age_group,acquisition_channel,signup_date,days_since_signup,city,region,district,total_line_items,distinct_products,total_quantity,gross_revenue,net_revenue,total_discount_amount,avg_unit_price,has_promotion,order_discount_rate_pct,payment_value,installments,payment_type,order_value_tier
316989,"2015-08-29","delivered","referral","desktop","paypal",1931,"male","35-44","paid_search","2022-10-18",-2607,"Hanoi","East","District #13",1,1,4,8736.8,8536.8,200,2184.2,true,2.29,8536.8,6,"installment","low_value"
316991,"2015-08-26","returned","social_media","mobile","apple_pay",2527,"male","18-24","paid_search","2020-03-12",-1660,"Bac Giang","East","District #13",1,1,5,9961.35,9711.35,250,1992.27,true,2.51,9711.35,3,"installment","low_value"
316992,"2015-08-27","delivered","direct","tablet","credit_card",2574,"female","25-34","referral","2016-07-20",-328,"Ha Long","East","District #13",1,1,6,25658.28,25358.28,300,4276.38,true,1.17,25358.28,3,"installment","low_value"
316993,"2015-08-27","delivered","direct","desktop","credit_card",3316,"female","18-24","paid_search","2022-11-27",-2649,"Lao Cai","East","District #13",2,2,5,10886.48,10636.48,250,2130.205,true,2.3,10636.48,1,"one_time","low_value"
316995,"2015-08-30","delivered","referral","mobile","credit_card",4953,"female","25-34","organic_search","2022-02-07",-2353,"Bac Giang","East","District #06",1,1,7,24481.59,24131.59,350,3497.37,true,1.43,24131.59,12,"installment","low_value"
316997,"2015-08-26","delivered","paid_search","mobile","credit_card",6708,"female","35-44","referral","2022-02-28",-2378,"Bac Giang","East","District #05",1,1,7,8374.31,8374.31,0,1196.33,false,0,8374.31,6,"installment","low_value"
316998,"2015-08-30","cancelled","paid_search","mobile","cod",6999,"male","18-24","organic_search","2021-01-05",-1955,"Hanoi","East","District #05",1,1,3,16449.69,16299.69,150,5483.23,true,0.91,16299.69,1,"one_time","low_value"
316999,"2015-08-28","delivered","organic_search","desktop","credit_card",7375,"male","35-44","social_media","2020-02-11",-1628,"Bac Ninh","East","District #03",1,1,6,33253.8,32953.8,300,5542.3,true,0.9,32953.8,1,"one_time","low_value"
317000,"2015-08-27","paid","organic_search","mobile","cod",7615,"female","35-44","organic_search","2017-06-06",-649,"Bac Giang","East","District #03",1,1,3,10345.53,10195.53,150,3448.51,true,1.45,10195.53,1,"one_time","low_value"
317001,"2015-08-30","delivered","social_media","desktop","credit_card",8067,"male","35-44","social_media","2021-09-27",-2220,"Son Tay","East","District #01",1,1,8,28074.56,27674.56,400,3509.32,true,1.42,27674.56,3,"installment","low_value"
