iter	RMSE
0	2264068.465
1	2202833.063
2	2153586.302
3	2099804.111
4	2049674.564
5	2003761.692
6	1956225.171
7	1912644.98
8	1873305.183
9	1834729.863
10	1799023.281
11	1767197.536
12	1740274.045
13	1714559.779
14	1685578.191
15	1659390.906
16	1637075.981
17	1608989.099
18	1582953.55
19	1562505.392
20	1547235.267
21	1531757.902
22	1513890.625
23	1498392.971
24	1481898.353
25	1465996.707
26	1454177.53
27	1441735.69
28	1429553.037
29	1418679.502
30	1406178.306
31	1396667.489
32	1386931.042
33	1376003.608
34	1365621.366
35	1358221.636
36	1350365.992
37	1343044.345
38	1333200.304
39	1326117.692
40	1320029.628
41	1311973.727
42	1302616.113
43	1296938.661
44	1293103.526
45	1286353.234
46	1279590.804
47	1272466.129
48	1266384.506
49	1260311.525
50	1253290.981
51	1247877.099
52	1244009.074
53	1238946.733
54	1234604.717
55	1229857.409
56	1227229.829
57	1221737.931
58	1216956.79
59	1212207.059
60	1207890.771
61	1205410.409
62	1202750.22
63	1197914.381
64	1192359.067
65	1186469.009
66	1183010.306
67	1180494.161
68	1177551.251
69	1173460.695
70	1170983.449
71	1165975.306
72	1162869.741
73	1161754.933
74	1157298.175
75	1154436.087
76	1150960.389
77	1147127.113
78	1143198.123
79	1138497.006
80	1134327.694
81	1131380.447
82	1128759.195
83	1126018.528
84	1124289.448
85	1122458.737
86	1119706.649
87	1118053.171
88	1115398.864
89	1112965.894
90	1110447.254
91	1108080.807
92	1105992.065
93	1103733.552
94	1101861.271
95	1099441.555
96	1097939.476
97	1095729.127
98	1094031.672
99	1092411.891
100	1089899.74
101	1088148.043
102	1085609.665
103	1084114.114
104	1082692.95
105	1080682.278
106	1078078.048
107	1077052.584
108	1075703.146
109	1074204.714
110	1072606.091
111	1071255.561
112	1069904.096
113	1067540.828
114	1065132.606
115	1060444.167
116	1058716.796
117	1057821.56
118	1056953.364
119	1055477.326
120	1053025.177
121	1051860.436
122	1050761.846
123	1049237.331
124	1047723.241
125	1046229.558
126	1044340.871
127	1043256.775
128	1042183.775
129	1041284.932
130	1040489.205
131	1038282.34
132	1035980.651
133	1034786.208
134	1033891.298
135	1031296.235
136	1029634.366
137	1025483.517
138	1024278.003
139	1022712.856
140	1021895.566
141	1020324.387
142	1019163.666
143	1018595.436
144	1016752.988
145	1014284.98
146	1012458.984
147	1010466.009
148	1009973.374
149	1008359.214
150	1007116.906
151	1004098.375
152	1002326.847
153	1001539.161
154	1000419.259
155	999684.5905
156	998326.2223
157	996243.6234
158	994887.2384
159	993597.8703
160	991942.1125
161	989159.6425
162	988567.0273
163	987969.3617
164	987080.3492
165	986086.2435
166	985263.1617
167	984565.8165
168	981382.6295
169	980010.5012
170	978417.3308
171	976213.0849
172	975783.569
173	974476.419
174	973880.4796
175	972702.1665
176	970920.1353
177	969964.9651
178	968701.8746
179	967708.8769
180	966250.2456
181	965427.319
182	962513.6511
183	961717.061
184	960757.8905
185	959667.1702
186	958646.5163
187	957662.306
188	954992.4579
189	953998.8479
190	953126.2377
191	950672.6552
192	948688.1896
193	947155.04
194	946343.8397
195	945421.0244
196	944456.1966
197	943552.53
198	942452.9297
199	941468.6188
200	939999.2756
201	939170.031
202	938824.1961
203	938280.165
204	937311.2025
205	936635.7866
206	935285.5819
207	933240.816
208	931198.321
209	930490.9269
210	929320.2125
211	927328.4148
212	926488.0948
213	925255.237
214	924411.1096
215	922652.9017
216	921883.2664
217	920747.6967
218	918897.4359
219	917287.0292
220	916641.4027
221	915594.543
222	914763.3593
223	914266.9365
224	912850.5206
225	912027.6059
226	910797.0591
227	909806.1143
228	909177.4794
229	908523.0478
230	908079.8592
231	906486.6022
232	906019.2576
233	905234.2712
234	904349.8842
235	902749.2323
236	902339.3536
237	901518.2315
238	900413.0093
239	899259.355
240	898547.124
241	897483.3896
242	896063.1476
243	895469.2431
244	894465.8121
245	893871.8494
246	893042.3198
247	891946.6325
248	891438.3348
249	890569.6145
250	889359.4575
251	888577.5857
252	887308.9558
253	886926.966
254	886352.6032
255	885838.8701
256	885013.4663
257	884479.1347
258	883668.3993
259	883001.1047
260	882241.6192
261	881180.4652
262	880500.8283
263	879638.9707
264	878542.0584
265	877526.6876
266	876830.4913
267	876223.3458
268	875511.2416
269	874544.051
270	873656.9384
271	872686.4421
272	871231.5023
273	870262.897
274	869991.6909
275	869362.3563
276	868880.5319
277	868631.0763
278	867838.9691
279	866502.4893
280	865890.6727
281	865324.9962
282	864892.1045
283	863909.6048
284	863241.7089
285	862654.4563
286	862197.2373
287	861609.7746
288	861112.233
289	860137.9271
290	858936.8855
291	858507.3131
292	857721.026
293	856678.2978
294	855817.6427
295	855207.0805
296	854780.1428
297	853649.7424
298	853192.6681
299	852772.2599
