iter	Passed	Remaining
0	11	33496
1	20	31180
2	30	30308
3	40	30051
4	52	31345
5	63	31491
6	73	31317
7	83	31046
8	93	30911
9	104	31092
10	114	30898
11	124	30885
12	134	30791
13	144	30646
14	154	30703
15	164	30607
16	175	30616
17	184	30458
18	194	30456
19	204	30389
20	214	30334
21	225	30363
22	236	30436
23	246	30498
24	256	30409
25	268	30540
26	277	30415
27	288	30477
28	297	30391
29	307	30324
30	317	30279
31	328	30310
32	338	30350
33	349	30336
34	358	30229
35	367	30161
36	376	30041
37	386	30008
38	397	30023
39	407	30003
40	416	29959
41	425	29877
42	436	29909
43	446	29881
44	456	29883
45	466	29861
46	477	29857
47	486	29824
48	496	29785
49	506	29761
50	516	29757
51	526	29731
52	536	29707
53	545	29645
54	554	29595
55	565	29585
56	574	29556
57	584	29525
58	594	29520
59	605	29537
60	615	29512
61	624	29481
62	635	29489
63	644	29466
64	655	29485
65	665	29457
66	675	29443
67	684	29406
68	695	29424
69	704	29377
70	714	29371
71	724	29351
72	733	29289
73	745	29346
74	754	29309
75	765	29320
76	775	29321
77	785	29307
78	795	29299
79	805	29283
80	815	29267
81	825	29257
82	835	29249
83	845	29231
84	854	29194
85	865	29204
86	875	29192
87	885	29185
88	895	29173
89	905	29161
90	916	29173
91	926	29155
92	936	29149
93	946	29141
94	956	29129
95	967	29147
96	978	29152
97	988	29153
98	1002	29243
99	1013	29261
100	1024	29278
101	1034	29271
102	1044	29256
103	1055	29268
104	1065	29252
105	1074	29224
106	1085	29216
107	1095	29206
108	1104	29184
109	1114	29168
110	1124	29150
111	1135	29158
112	1146	29171
113	1156	29168
114	1167	29159
115	1177	29155
116	1187	29135
117	1197	29116
118	1206	29096
119	1216	29073
120	1226	29059
121	1236	29050
122	1248	29071
123	1257	29044
124	1268	29046
125	1279	29069
126	1290	29074
127	1300	29050
128	1310	29052
129	1319	29018
130	1330	29012
131	1341	29014
132	1351	29012
133	1361	29007
134	1371	28976
135	1381	28977
136	1392	28975
137	1402	28974
138	1412	28958
139	1422	28944
140	1433	28939
141	1443	28925
142	1453	28921
143	1464	28920
144	1474	28905
145	1485	28911
146	1495	28895
147	1505	28888
148	1515	28878
149	1526	28877
150	1536	28858
151	1546	28854
152	1556	28841
153	1567	28846
154	1577	28829
155	1587	28817
156	1597	28813
157	1607	28795
158	1618	28792
159	1628	28777
160	1631	28654
161	1642	28646
162	1652	28643
163	1663	28643
164	1673	28640
165	1684	28638
166	1697	28666
167	1709	28687
168	1720	28693
